timestamp,frame_id,hand_id,hand_type,confidence,palm_x,palm_y,palm_z,palm_normal_x,palm_normal_y,palm_normal_z,palm_velocity_x,palm_velocity_y,palm_velocity_z,grab_strength,pinch_strength,pinch_distance,thumb_extended,index_extended,middle_extended,ring_extended,pinky_extended,thumb_tip_x,thumb_tip_y,thumb_tip_z,index_tip_x,index_tip_y,index_tip_z,gesture_type,sequence_id,recording_timestamp,video_file_path,performance_actual_fps,performance_total_frames,performance_target_fps,performance_quality,performance_mode,video_recording_time
2025-11-18 13:52:49.713590,1,517,HandType.Right,0.6804649829864502,168.8302001953125,201.16632080078125,-133.07493591308594,-0.4041319787502289,-0.8504026532173157,-0.3368866741657257,-18.963008880615234,-10.58326244354248,9.98844051361084,0.0,0.16575126349925995,41.840335845947266,0,1,1,1,1,141.35255432128906,201.78724670410156,-174.09603881835938,173.84300231933594,207.1411895751953,-212.212646484375,pull,16,2025-11-18T13:52:49.713590,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.713590,2,517,HandType.Right,0.6827002167701721,168.57774353027344,201.01756286621094,-132.97042846679688,-0.403606116771698,-0.8510494828224182,-0.3358822762966156,-22.570219039916992,-13.300359725952148,9.343889236450195,0.0,0.16184119880199432,41.94355392456055,0,1,1,1,1,141.00338745117188,201.627197265625,-173.9929656982422,173.61160278320312,207.0456085205078,-212.1832733154297,pull,16,2025-11-18T13:52:49.713590,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.727078,3,517,HandType.Right,0.68241286277771,168.3314208984375,200.86891174316406,-132.8626251220703,-0.4030618965625763,-0.851638913154602,-0.3350406587123871,-22.00071144104004,-13.276216506958008,9.628597259521484,0.0,0.15804670751094818,42.01201248168945,0,1,1,1,1,140.7287139892578,201.4846954345703,-173.87777709960938,173.44894409179688,206.9684295654297,-212.14306640625,pull,16,2025-11-18T13:52:49.727078,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.744238,4,517,HandType.Right,0.6838023662567139,168.15341186523438,200.79315185546875,-132.74868774414062,-0.4009891748428345,-0.8530217409133911,-0.3340083360671997,-16.426816940307617,-6.991300582885742,10.514312744140625,0.0,0.15063758194446564,42.151065826416016,0,1,1,1,1,140.51930236816406,201.4198455810547,-173.73367309570312,173.40478515625,207.0612335205078,-212.186279296875,pull,16,2025-11-18T13:52:49.744238,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.754509,5,517,HandType.Right,0.6837062835693359,167.99961853027344,200.780517578125,-132.5975341796875,-0.3988368511199951,-0.8543306589126587,-0.3332391679286957,-13.63306999206543,-1.119917869567871,13.398115158081055,0.0,0.1446215659379959,42.28565216064453,0,1,1,1,1,140.34188842773438,201.3931884765625,-173.5655975341797,173.3693389892578,207.3394317626953,-212.13778686523438,pull,16,2025-11-18T13:52:49.754509,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.764826,6,517,HandType.Right,0.6846795082092285,167.87908935546875,200.79745483398438,-132.4190216064453,-0.39735421538352966,-0.8553363680839539,-0.33242934942245483,-11.016791343688965,1.5475443601608276,16.318504333496094,0.0,0.13951526582241058,42.4300651550293,0,1,1,1,1,140.16380310058594,201.3702850341797,-173.3829803466797,173.32391357421875,207.63096618652344,-212.03541564941406,pull,16,2025-11-18T13:52:49.764826,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.774938,7,517,HandType.Right,0.6846795082092285,167.87908935546875,200.79745483398438,-132.4190216064453,-0.39735421538352966,-0.8553363680839539,-0.33242934942245483,-11.016791343688965,1.5475443601608276,16.318504333496094,0.0,0.13951526582241058,42.4300651550293,0,1,1,1,1,140.16380310058594,201.3702850341797,-173.3829803466797,173.32391357421875,207.63096618652344,-212.03541564941406,pull,16,2025-11-18T13:52:49.774938,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.785276,8,517,HandType.Right,0.6831663250923157,167.77313232421875,200.82745361328125,-132.20492553710938,-0.3961523771286011,-0.8562308549880981,-0.3315599858760834,-9.53763484954834,2.700963258743286,19.27033042907715,0.0,0.13657818734645844,42.522789001464844,0,1,1,1,1,140.00611877441406,201.3608856201172,-173.1591796875,173.26425170898438,207.7680206298828,-211.84307861328125,pull,16,2025-11-18T13:52:49.785276,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.805375,9,517,HandType.Right,0.681976318359375,167.71116638183594,200.88265991210938,-131.8275909423828,-0.3929476737976074,-0.8580000996589661,-0.3307989835739136,-2.491915225982666,-0.5574321746826172,17.94663429260254,0.0,0.1334352195262909,42.639678955078125,0,1,1,1,1,139.92074584960938,201.31597900390625,-172.69161987304688,173.2539825439453,207.7908172607422,-211.45570373535156,pull,16,2025-11-18T13:52:49.805375,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
2025-11-18 13:52:49.805375,10,517,HandType.Right,0.6823031306266785,167.67420959472656,200.83253479003906,-131.63653564453125,-0.3921512961387634,-0.8584919571876526,-0.33046773076057434,-3.385476589202881,-4.592381954193115,17.503904342651367,0.0,0.13536882400512695,42.59418487548828,0,1,1,1,1,139.8726043701172,201.2548828125,-172.4922637939453,173.12831115722656,207.70872497558594,-211.23876953125,pull,16,2025-11-18T13:52:49.805375,my_hand_data\videos\pull_seq16_20251118_135249_694859.avi,89.78766563891388,360,90,HIGH,VIDEO_RECORDING,2025-11-18T13:52:53.782478
